id,name,kana,description,rarity,group_id,group_rate,grade_value,category,tag_id,icon_id,need_skill_point,detail_url,icon_url
200253,内枠苦手,ウチワクニガテ,枠番が1～3のレースが少し苦手になる,1,20025,-1,-129,0,405,10054,50,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200253,https://static.kouryaku.tools/umamusume/images/skills/10054/icon.png?width=96&height=96
200261,外枠得意◎,ソトワクトクイ◎,枠番が6～8のレースが得意になる,1,20026,2,174,0,401/609,10011,110,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200261,https://static.kouryaku.tools/umamusume/images/skills/10011/icon.png?width=96&height=96
200262,外枠得意○,ソトワクトクイ○,枠番が6～8のレースが少し得意になる,1,20026,1,129,0,401/609,10011,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200262,https://static.kouryaku.tools/umamusume/images/skills/10011/icon.png?width=96&height=96
200263,外枠苦手,ソトワクニガテ,枠番が6～8のレースが少し苦手になる,1,20026,-1,-129,0,401,10014,50,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200263,https://static.kouryaku.tools/umamusume/images/skills/10014/icon.png?width=96&height=96
200271,おひとり様◎,オヒトリサマ◎,自分と同じ作戦のウマ娘がいないと\n能力をすごく発揮しやすい,1,20027,2,174,0,401/613,10011,110,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200271,https://static.kouryaku.tools/umamusume/images/skills/10011/icon.png?width=96&height=96
200272,おひとり様○,オヒトリサマ○,自分と同じ作戦のウマ娘がいないと\n能力を発揮しやすい,1,20027,1,129,0,401/613,10011,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200272,https://static.kouryaku.tools/umamusume/images/skills/10011/icon.png?width=96&height=96
200281,対抗意識◎,タイコウイシキ◎,自分と同じ作戦のウマ娘が多いと\n能力を発揮しやすい,1,20028,2,174,0,403/613,10031,110,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200281,https://static.kouryaku.tools/umamusume/images/skills/10031/icon.png?width=96&height=96
200282,対抗意識○,タイコウイシキ○,自分と同じ作戦のウマ娘が多いと\n能力を少し発揮しやすい,1,20028,1,129,0,403/613,10031,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200282,https://static.kouryaku.tools/umamusume/images/skills/10031/icon.png?width=96&height=96
200283,引っ込み思案,ヒッコミジアン,自分と同じ作戦のウマ娘が多いと\n能力を少し発揮しにくい,1,20028,-1,-129,0,403,10034,50,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200283,https://static.kouryaku.tools/umamusume/images/skills/10034/icon.png?width=96&height=96
200291,徹底マーク◎,テッテイマーク◎,1番人気のウマ娘と作戦が同じだと\n能力を発揮しやすい,1,20029,2,174,0,404/611,10041,110,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200291,https://static.kouryaku.tools/umamusume/images/skills/10041/icon.png?width=96&height=96
200292,徹底マーク○,テッテイマーク○,1番人気のウマ娘と作戦が同じだと\n能力を少し発揮しやすい,1,20029,1,129,0,404/611,10041,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200292,https://static.kouryaku.tools/umamusume/images/skills/10041/icon.png?width=96&height=96
200301,伏兵◎,フクヘイ◎,4番人気以下のレースで\n能力を発揮しやすい,1,20030,2,174,0,401/611,10011,110,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200301,https://static.kouryaku.tools/umamusume/images/skills/10011/icon.png?width=96&height=96
200302,伏兵○,フクヘイ○,4番人気以下のレースで\n能力を少し発揮しやすい,1,20030,1,129,0,401/611,10011,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200302,https://static.kouryaku.tools/umamusume/images/skills/10011/icon.png?width=96&height=96
200311,GⅠ苦手,ジーワンニガテ,GⅠなどの大舞台のレースが\n少し苦手になる,1,20031,-1,-129,0,401,10014,50,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200311,https://static.kouryaku.tools/umamusume/images/skills/10014/icon.png?width=96&height=96
200321,小心者,ショウシンモノ,1番人気になる事が少し苦手になる,1,20032,-1,-129,0,402,10024,50,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200321,https://static.kouryaku.tools/umamusume/images/skills/10024/icon.png?width=96&height=96
200331,弧線のプロフェッサー,コセンノプロフェッサー,コーナーが得意になり\n速度が上がる,2,20033,2,508,4,401,20012,180,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200331,https://static.kouryaku.tools/umamusume/images/skills/20012/icon.png?width=96&height=96
200332,コーナー巧者○,コーナーコウシャ○,コーナーが得意になり\n速度がわずかに上がる,1,20033,1,217,4,401,20011,180,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200332,https://static.kouryaku.tools/umamusume/images/skills/20011/icon.png?width=96&height=96
200333,コーナー巧者×,コーナーコウシャ×,コーナーが苦手になり\n速度が少し下がる,1,20033,-1,-262,4,401,20014,100,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200333,https://static.kouryaku.tools/umamusume/images/skills/20014/icon.png?width=96&height=96
200341,曲線のソムリエ,キョクセンノソムリエ,華麗なコーナーワークで\n加速力が上がる,2,20034,2,508,4,403,20042,180,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200341,https://static.kouryaku.tools/umamusume/images/skills/20042/icon.png?width=96&height=96
